Stkcd,Reptdt,S0301a,,,,,S0302a,S0303a,S0304a,S0305a,S0306a
000777,2018-09-30,中核苏州阀门有限公司,,,,,68715360 ,3,17.92,流通A股,1
000777,2018-09-30,中国核工业集团公司,,,,,35753819 ,3,9.33,流通A股,2
000777,2018-09-30,中央汇金资产管理有限责任公司,,,,,10152600 ,3,2.65,流通A股,3
000777,2018-09-30,迟新杰,,,,,1570014 ,3,0.41,流通A股,4
000777,2018-09-30,北京华信四海科技发展有限公司,,,,,1200000 ,3,0.31,流通A股,5
000777,2018-09-30,马静,,,,,1162905 ,3,0.3,流通A股,6
000777,2018-09-30,李天生,,,,,1140000 ,3,0.3,流通A股,7
000777,2018-09-30,辽宁北方科技集团有限公司,,,,,1050000 ,3,0.27,流通A股,8
000777,2018-09-30,向远丽,,,,,890698 ,3,0.23,流通A股,9
000777,2018-09-30,林伟荣,,,,,773900 ,3,0.2,流通A股,10
000778,2018-09-30,新兴际华集团有限公司,,,,,1594808303 ,3,39.96,"未流通股,流通A股",1
000778,2018-09-30,香港中央结算有限公司,,,,,146554844 ,3,3.67,流通A股,2
000778,2018-09-30,北京诚通金控投资有限公司,,,,,83209852 ,3,2.09,流通A股,3
000778,2018-09-30,国新投资有限公司,,,,,76030232 ,3,1.91,流通A股,4
000778,2018-09-30,全国社保基金五零三组合,,,,,48000065 ,3,1.2,流通A股,5
000778,2018-09-30,全国社保基金一零三组合,,,,,42000000 ,3,1.05,流通A股,6
000778,2018-09-30,安徽高新毅达皖江产业发展创业投资基金(有限合伙),,,,,31067961 ,3,0.78,流通A股,7
000778,2018-09-30,中国建设银行股份有限公司,银华鑫锐定增灵活配置混合型证券投资基金,,,,26348343 ,3,0.66,流通A股,8
000778,2018-09-30,中国农业银行股份有限公司,中证500交易型开放式指数证券投资基金,,,,21016901 ,3,0.53,流通A股,9
000778,2018-09-30,全国社保基金四零七组合,,,,,15378100 ,3,0.39,流通A股,10
000779,2018-09-30,兰州三毛纺织(集团)有限责任公司,,,,,28472568 ,1,15.27,流通A股,1
000779,2018-09-30,甘肃省国有资产投资集团有限公司,,,,,24300371 ,3,13.03,流通A股,2
000779,2018-09-30,甘肃省新业资产经营有限责任公司,,,,,8015501 ,3,4.3,流通A股,3
000779,2018-09-30,上海开开实业股份有限公司,,,,,6237852 ,3,3.35,流通A股,4
000779,2018-09-30,兰州永新大贸贸易有限责任公司,,,,,5698488 ,3,3.06,流通A股,5
000779,2018-09-30,赵建平,,,,,4000000 ,3,2.15,流通A股,6
000779,2018-09-30,王坚宏,,,,,2670000 ,3,1.43,流通A股,7
000779,2018-09-30,奇鹏,,,,,1899073 ,3,1.02,流通A股,8
000779,2018-09-30,陈振群,,,,,1509800 ,3,0.81,流通A股,9
000779,2018-09-30,王丹岐,,,,,981800 ,3,0.53,流通A股,10
000780,2018-09-30,内蒙古平庄煤业(集团)有限责任公司,,,,,622947287 ,3,61.42,流通A股,1
000780,2018-09-30,中央汇金资产管理有限责任公司,,,,,9299400 ,3,0.92,流通A股,2
000780,2018-09-30,北京紫光通信科技集团有限公司,,,,,9110401 ,3,0.9,流通A股,3
000780,2018-09-30,中国银行股份有限公司,华宝标普中国A股红利机会指数证券投资基金(LOF),,,,5719900 ,3,0.56,流通A股,4
000780,2018-09-30,梁卓荣,,,,,4883002 ,3,0.48,流通A股,5
000780,2018-09-30,林要兴,,,,,3573435 ,3,0.35,流通A股,6
000780,2018-09-30,穆俊霖,,,,,3188880 ,3,0.31,流通A股,7
000780,2018-09-30,梁晓雲,,,,,3008800 ,3,0.3,流通A股,8
000780,2018-09-30,华融证券股份有限公司,,,,,2619100 ,3,0.26,流通A股,9
000780,2018-09-30,姚建平,,,,,2080180 ,3,0.21,流通A股,10
000782,2018-09-30,青岛昌盛日电新能源控股有限公司,,,,,154911124 ,1,29.33,"流通A股,未流通股",1
000782,2018-09-30,孙中兴,,,,,1995900 ,3,0.38,流通A股,10
000782,2018-09-30,郑瑞贞,,,,,8980000 ,3,1.7,流通A股,4
000782,2018-09-30,史双富,,,,,2929000 ,3,0.55,流通A股,6
000782,2018-09-30,吴金兰,,,,,12569912 ,3,2.38,流通A股,3
000782,2018-09-30,金红,,,,,2270000 ,3,0.43,流通A股,9
000782,2018-09-30,罗振,,,,,2825080 ,3,0.53,流通A股,7
000782,2018-09-30,王英,,,,,5020120 ,3,0.95,流通A股,5
000782,2018-09-30,太仓德源投资管理中心(有限合伙),,,,,26843723 ,1,5.08,流通A股,2
000782,2018-09-30,薛建新,,,,,2812900 ,3,0.53,流通A股,8
000783,2018-09-30,新理益集团有限公司,,,,,712976687 ,1,12.89,流通A股,1
000783,2018-09-30,湖北能源集团股份有限公司,,,,,506842458 ,2,9.17,流通A股,2
000783,2018-09-30,三峡资本控股有限责任公司,,,,,332925399 ,2,6.02,流通A股,3
000783,2018-09-30,上海海欣集团股份有限公司,,,,,248200000 ,2,4.49,流通A股,4
000783,2018-09-30,国华人寿保险股份有限公司,分红三号,,,,236649134 ,2,4.28,流通A股,5
000783,2018-09-30,武汉地产开发投资集团有限公司,,,,,200000000 ,2,3.62,流通A股,6
000783,2018-09-30,湖北省宏泰国有资本投资运营集团有限公司,,,,,184473401 ,2,3.34,流通A股,7
000783,2018-09-30,津联(天津)融资租赁有限公司,,,,,171562750 ,2,3.1,流通A股,8
000783,2018-09-30,中国证券金融股份有限公司,,,,,165331237 ,2,2.99,流通A股,9
000783,2018-09-30,中国葛洲坝集团股份有限公司,,,,,135879152 ,2,2.46,流通A股,10
000785,2018-09-30,武汉商联(集团)股份有限公司,,,,,103627794 ,3,41.25,流通A股,1
000785,2018-09-30,绿地金融投资控股集团有限公司,,,,,11351198 ,3,4.52,流通A股,2
000785,2018-09-30,湖北省高新产业投资集团有限公司,,,,,4406387 ,3,1.75,流通A股,3
000785,2018-09-30,胡余友,,,,,1687500 ,3,0.67,流通A股,5
000785,2018-09-30,程辉,,,,,1621900 ,3,0.65,流通A股,6
000785,2018-09-30,赖宏燕,,,,,1604800 ,3,0.64,流通A股,7
000785,2018-09-30,张利,,,,,1239993 ,3,0.49,流通A股,8
000785,2018-09-30,武汉重型机床集团有限公司,,,,,752382 ,3,0.3,流通A股,10
000785,2018-09-30,UBS AG,,,,,3627911 ,3,1.44,流通A股,4
000785,2018-09-30,谷力,,,,,932200 ,3,0.37,流通A股,9
000786,2018-09-30,中国建材股份有限公司,,,,,639065870 ,3,37.83,流通A股,1
000786,2018-09-30,泰安市国泰民安投资集团有限公司,,,,,125954857 ,1,7.46,未流通股,2
000786,2018-09-30,贾同春,,,,,89451976 ,1,5.29,未流通股,3
000786,2018-09-30,全国社保基金一零一组合,,,,,57737025 ,3,3.42,流通A股,4
000786,2018-09-30,香港中央结算有限公司,,,,,41581367 ,3,2.46,流通A股,5
000786,2018-09-30,全国社保基金一零九组合,,,,,12542949 ,3,0.74,流通A股,6
000786,2018-09-30,中国工商银行股份有限公司,景顺长城精选蓝筹混合型证券投资基金,,,,9999963 ,3,0.59,流通A股,7
000786,2018-09-30,中国建设银行股份有限公司,兴全社会责任混合型证券投资基金,,,,9498286 ,3,0.56,流通A股,8
000786,2018-09-30,全国社保基金四零一组合,,,,,9271236 ,3,0.55,流通A股,9
000786,2018-09-30,南方基金公司,建行,中国平安人寿保险股份有限公司,,,9186438 ,3,0.54,流通A股,10
000788,2018-09-30,西南合成医药集团有限公司,,,,,170356260 ,3,28.58,流通A股,1
000788,2018-09-30,北大医疗产业集团有限公司,,,,,70328949 ,3,11.8,流通A股,2
000788,2018-09-30,中国证券金融股份有限公司,,,,,11576513 ,3,1.94,流通A股,3
000788,2018-09-30,刘巍建,,,,,7895107 ,3,1.32,流通A股,4
000788,2018-09-30,重庆长江制药厂,,,,,7298850 ,3,1.22,流通A股,5
000788,2018-09-30,中央汇金资产管理有限责任公司,,,,,6244400 ,3,1.05,流通A股,6
000788,2018-09-30,建投中信资产管理有限责任公司,,,,,4929900 ,3,0.83,流通A股,7
000788,2018-09-30,北京政泉控股有限公司,,,,,3225346 ,1,0.54,流通A股,8
000788,2018-09-30,北京大学教育基金会,,,,,3000000 ,3,0.5,流通A股,9
000788,2018-09-30,邵乐娟,,,,,2249500 ,3,0.38,流通A股,10
000789,2018-09-30,江西水泥有限责任公司,,,,,261194862 ,3,42.58,流通A股,1
000789,2018-09-30,中国建材股份有限公司,,,,,30000000 ,3,4.89,流通A股,2
000789,2018-09-30,香港中央结算有限公司,,,,,13042904 ,3,2.13,流通A股,3
000789,2018-09-30,中国人寿保险股份有限公司,分红,个人分红,005L,FH002深,7660842 ,3,1.25,流通A股,4
000789,2018-09-30,交通银行股份有限公司,富安达优势成长股票型证券投资基金,,,,5299854 ,3,0.86,流通A股,5
000789,2018-09-30,全国社保基金五零二组合,,,,,4540720 ,3,0.74,流通A股,6
000789,2018-09-30,金涛,,,,,4000000 ,3,0.65,流通A股,7
000789,2018-09-30,UBS AG,,,,,3658697 ,3,0.6,流通A股,8
000789,2018-09-30,中国人寿保险(集团)公司,传统,普通保险产品,,,3499960 ,3,0.57,流通A股,9
000789,2018-09-30,交通银行,融通行业景气证券投资基金,,,,3082241 ,3,0.5,流通A股,10
000790,2018-09-30,四川华神集团股份有限公司,,,,,101301165 ,3,18.08,流通A股,1
000790,2018-09-30,王安全,,,,,28016466 ,3,5,流通A股,2
000790,2018-09-30,丁书干,,,,,7800000 ,3,1.39,流通A股,3
000790,2018-09-30,张青,,,,,5954615 ,3,1.06,流通A股,4
000790,2018-09-30,林洁君,,,,,5394090 ,3,0.96,流通A股,5
000790,2018-09-30,赵顺斌,,,,,5272180 ,3,0.94,流通A股,6
000790,2018-09-30,黄宜,,,,,3600000 ,3,0.64,流通A股,7
000790,2018-09-30,余浩鑫,,,,,3500000 ,3,0.62,流通A股,8
000790,2018-09-30,赵玉涛,,,,,2737750 ,3,0.49,流通A股,9
000790,2018-09-30,秦浩,,,,,2200000 ,3,0.39,流通A股,10
000791,2018-09-30,甘肃省电力投资集团有限责任公司,,,,,607379805 ,3,62.54,流通A股,1
000791,2018-09-30,平安大华基金,平安银行,平安大华平安金橙财富82号蓝巨资产管理计划,,,35859502 ,3,3.69,流通A股,2
000791,2018-09-30,华安未来资产,工商银行,蓝巨定增1号资产管理计划,,,30174000 ,3,3.11,流通A股,3
000791,2018-09-30,重庆市城市建设投资(集团)有限公司,,,,,8237476 ,3,0.85,流通A股,4
000791,2018-09-30,基本养老保险基金九零三组合,,,,,2484700 ,3,0.26,流通A股,5
000791,2018-09-30,张永顺,,,,,1116200 ,3,0.11,流通A股,6
000791,2018-09-30,蔡映辉,,,,,982700 ,3,0.1,流通A股,7
000791,2018-09-30,张述文,,,,,900000 ,3,0.09,流通A股,8
000791,2018-09-30,中国建设银行股份有限公司,东吴双三角股票型证券投资基金,,,,900000 ,3,0.09,流通A股,9
000791,2018-09-30,姜益星,,,,,895497 ,3,0.09,流通A股,10
000792,2018-09-30,青海省国有资产投资管理有限公司,,,,,753068895 ,1,27.03,流通A股,1
000792,2018-09-30,中国中化集团有限公司,,,,,571578484 ,3,20.52,流通A股,2
000792,2018-09-30,中国信达资产管理股份有限公司,,,,,173553462 ,3,6.23,流通A股,3
000792,2018-09-30,中国华融资产管理股份有限公司,,,,,49364965 ,3,1.77,流通A股,4
000792,2018-09-30,广州市华美丰收资产管理有限公司,,,,,44519109 ,1,1.6,"未流通股,流通A股",5
000792,2018-09-30,王一虹,,,,,43422187 ,1,1.56,"未流通股,流通A股",6
000792,2018-09-30,全国社保基金四一四组合,,,,,35847135 ,3,1.29,流通A股,7
000792,2018-09-30,全国社保基金五零三组合,,,,,30000000 ,3,1.08,流通A股,8
000792,2018-09-30,GIC PRIVATE LIMITED,,,,,28324450 ,3,1.02,流通A股,9
000792,2018-09-30,香港中央结算有限公司,,,,,26963861 ,3,0.97,流通A股,10
000793,2018-09-30,国广环球资产管理有限公司,,,,,163800244 ,1,8.18,流通A股,1
000793,2018-09-30,前海开源基金,浦发银行,渤海国际信托,渤海信托·煦沁聚和1号集合资金信托计划,,122721037 ,3,6.13,流通A股,2
000793,2018-09-30,长信基金,浦发银行,长信,浦发,粤信2号资产管理计划,102561435 ,3,5.12,流通A股,3
000793,2018-09-30,四川信托有限公司,四川信托·星光5号单一资金信托,,,,78506261 ,3,3.92,流通A股,4
000793,2018-09-30,方正东亚信托有限责任公司,腾翼投资1号单一资金信托,,,,59088209 ,3,2.95,流通A股,5
000793,2018-09-30,中国证券金融股份有限公司,,,,,58041315 ,3,2.9,流通A股,6
000793,2018-09-30,西藏风网科技有限公司,,,,,37954736 ,1,1.9,"未流通股,流通A股",7
000793,2018-09-30,前海开源基金,浦发银行,前海开源聚和资产管理计划,,,30515332 ,3,1.52,流通A股,8
000793,2018-09-30,新疆锐盈股权投资合伙企业(有限合伙),,,,,30023475 ,3,1.5,"未流通股,流通A股",9
000793,2018-09-30,云南国际信托有限公司,峻茂15号单一资金信托,,,,25605883 ,3,1.28,流通A股,10
000795,2018-09-30,横店集团控股有限公司,,,,,446427575 ,1,39.38,"未流通股,流通A股",1
000795,2018-09-30,横店集团东磁有限公司,,,,,98077839 ,3,8.65,未流通股,2
000795,2018-09-30,钜洲资产管理(上海)有限公司,,,,,29940119 ,1,2.64,未流通股,3
000795,2018-09-30,硅谷惠银(厦门)资产管理有限公司,硅谷惠银定增1号资产管理计划,,,,21956087 ,3,1.94,未流通股,4
000795,2018-09-30,金华相家投资合伙企业(有限合伙),,,,,13494272 ,3,1.19,流通A股,5
000795,2018-09-30,浙江横店进出口有限公司,,,,,12175648 ,3,1.07,未流通股,6
000795,2018-09-30,东阳市恒益投资合伙企业(有限合伙),,,,,12101801 ,3,1.07,未流通股,7
000795,2018-09-30,许晓华,,,,,3466080 ,3,0.31,"未流通股,流通A股",8
000795,2018-09-30,刘苗苗,,,,,2373400 ,3,0.21,流通A股,9
000795,2018-09-30,刘奕彤,,,,,1662855 ,3,0.15,流通A股,10
000796,2018-09-30,海航旅游集团有限公司,,,,,255398283 ,1,31.81,"未流通股,流通A股",1
000796,2018-09-30,凯撒世嘉旅游管理顾问股份有限公司,,,,,211891891 ,1,26.39,未流通股,2
000796,2018-09-30,大集控股有限公司,,,,,42847964 ,1,5.34,流通A股,3
000796,2018-09-30,GIC PRIVATE LIMITED,,,,,21298996 ,3,2.65,流通A股,4
000796,2018-09-30,新余杭坤投资管理中心(有限合伙),,,,,17680000 ,1,2.2,未流通股,5
000796,2018-09-30,海航航空集团有限公司,,,,,15503875 ,1,1.93,未流通股,6
000796,2018-09-30,网易乐得科技有限公司,,,,,15503875 ,3,1.93,未流通股,7
000796,2018-09-30,新余佳庆投资管理中心(有限合伙),,,,,12390000 ,1,1.54,未流通股,8
000796,2018-09-30,新余玖兴投资管理中心(有限合伙),,,,,11000000 ,1,1.37,未流通股,9
000796,2018-09-30,新余世嘉弘奇投资管理中心(有限合伙),,,,,8000000 ,1,1,未流通股,10
000797,2018-09-30,福建建工集团有限责任公司,,,,,427844591 ,1,32.64,流通A股,1
000797,2018-09-30,福建省能源集团有限责任公司,,,,,268944699 ,3,20.52,流通A股,2
000797,2018-09-30,董敏,,,,,48100000 ,3,3.67,流通A股,3
000797,2018-09-30,泰禾集团股份有限公司,,,,,18304822 ,3,1.4,流通A股,4
000797,2018-09-30,苏志伟,,,,,9614652 ,3,0.73,流通A股,5
000797,2018-09-30,寿稚岗,,,,,9464433 ,3,0.72,流通A股,6
000797,2018-09-30,申亚林,,,,,8820000 ,3,0.67,流通A股,7
000797,2018-09-30,紫金财产保险股份有限公司,自有资金,,,,7233271 ,3,0.55,流通A股,8
000797,2018-09-30,马德地,,,,,7220000 ,3,0.55,流通A股,9
000797,2018-09-30,中国对外经济贸易信托有限公司,淡水泉精选1期,,,,7067498 ,3,0.54,流通A股,10
000798,2018-09-30,中国农业发展集团有限公司,,,,,81003133 ,3,25.36,流通A股,1
000798,2018-09-30,中国水产舟山海洋渔业有限公司,,,,,65032900 ,3,20.36,流通A股,2
000798,2018-09-30,中国华农资产经营有限公司,,,,,43009713 ,3,13.46,流通A股,3
000798,2018-09-30,杜晚春,,,,,4533836 ,3,1.42,流通A股,4
000798,2018-09-30,北京易诊科技发展有限公司,,,,,4123426 ,3,1.29,流通A股,5
000798,2018-09-30,北京小间科技发展有限公司,,,,,3533775 ,3,1.11,流通A股,7
000798,2018-09-30,北京塞纳投资发展有限公司,,,,,2873600 ,3,0.9,流通A股,8
000798,2018-09-30,北京纳木纳尼资产管理有限公司,,,,,2378391 ,3,0.74,流通A股,9
000798,2018-09-30,胡光剑,,,,,2279306 ,3,0.71,流通A股,10
000798,2018-09-30,国信证券股份有限公司约定购回专用账户,,,,,4017000 ,3,1.26,流通A股,6
000799,2018-09-30,中皇有限公司,,,,,100727291 ,3,31,流通A股,1
000799,2018-09-30,中国银行股份有限公司,招商中证白酒指数分级证券投资基金,,,,5137673 ,3,1.58,流通A股,2
000799,2018-09-30,中国银行,华夏回报证券投资基金,,,,4540340 ,3,1.4,流通A股,3
000799,2018-09-30,瞿惠玲,,,,,2730007 ,3,0.84,流通A股,4
000799,2018-09-30,张寿清,,,,,2437300 ,3,0.75,流通A股,5
000799,2018-09-30,中国银行,华夏回报二号证券投资基金,,,,2065743 ,3,0.64,流通A股,6
000799,2018-09-30,周军,,,,,1838018 ,3,0.57,流通A股,7
000799,2018-09-30,巩和国,,,,,1554000 ,3,0.48,流通A股,8
000799,2018-09-30,张宝玉,,,,,1551505 ,3,0.48,流通A股,9
000799,2018-09-30,肖正,,,,,1300000 ,3,0.4,流通A股,10
000800,2018-09-30,中国第一汽车股份有限公司,,,,,862983689 ,3,53.03,"未流通股,流通A股",1
000800,2018-09-30,曲海鹏,,,,,29450672 ,3,1.81,流通A股,2
000800,2018-09-30,中央汇金资产管理有限责任公司,,,,,26143900 ,3,1.61,流通A股,3
000800,2018-09-30,何海潮,,,,,21535288 ,3,1.32,流通A股,4
000800,2018-09-30,中国证券金融股份有限公司,,,,,15550242 ,3,0.96,流通A股,5
000800,2018-09-30,李伟东,,,,,7500000 ,3,0.46,流通A股,6
000800,2018-09-30,香港中央结算有限公司,,,,,6830611 ,3,0.42,流通A股,7
000800,2018-09-30,中欧基金,农业银行,中欧中证金融资产管理计划,,,5549500 ,3,0.34,流通A股,8
000800,2018-09-30,博时基金,农业银行,博时中证金融资产管理计划,,,5549500 ,3,0.34,流通A股,9
000800,2018-09-30,兴业国际信托有限公司,常春藤六期证券投资集合资金信托计划,,,,5227715 ,3,0.32,流通A股,10
000801,2018-09-30,四川九洲电器集团有限责任公司,,,,,486907288 ,3,47.61,流通A股,1
000801,2018-09-30,华宝信托有限责任公司,天高资本21号单一资金信托,,,,19140000 ,3,1.87,流通A股,2
000801,2018-09-30,宋书亚,,,,,14704200 ,3,1.44,流通A股,3
000801,2018-09-30,四川富润志合投资有限责任公司,,,,,12183000 ,3,1.19,流通A股,4
000801,2018-09-30,招商财富,招商银行,安徽国资1号专项资产管理计划,,,10303030 ,3,1.01,流通A股,5
000801,2018-09-30,华安未来资产,浦发银行,华安资产,浦发银行,东兴1号资产管理计划,10303030 ,3,1.01,流通A股,6
000801,2018-09-30,绵阳科技城发展投资(集团)有限公司,,,,,10000000 ,3,0.98,流通A股,7
000801,2018-09-30,绵阳市九华投资管理中心(有限合伙),,,,,6815620 ,3,0.67,流通A股,8
000801,2018-09-30,中国农业银行股份有限公司,南方军工改革灵活配置混合型证券投资基金,,,,6057578 ,3,0.59,流通A股,9
000801,2018-09-30,长城国融投资管理有限公司,,,,,4924600 ,3,0.48,流通A股,10
000802,2018-09-30,中国华力控股集团有限公司,,,,,113841309 ,1,15.74,流通A股,1
000802,2018-09-30,富德生命人寿保险股份有限公司,,,,,111649909 ,3,15.44,未流通股,2
000802,2018-09-30,西藏金宝藏文化传媒有限公司,,,,,52816457 ,1,7.3,未流通股,3
000802,2018-09-30,西藏九达投资管理有限公司,,,,,47516300 ,1,6.57,未流通股,4
000802,2018-09-30,石河子无极股权投资合伙企业(有限合伙),,,,,38085201 ,1,5.27,未流通股,5
000802,2018-09-30,新疆嘉梦股权投资合伙企业(有限合伙),,,,,37990695 ,1,5.25,未流通股,6
000802,2018-09-30,西藏金桔文化传播有限公司,,,,,31390123 ,3,4.34,未流通股,7
000802,2018-09-30,全国社保基金一零四组合,,,,,14000000 ,3,1.94,流通A股,8
000802,2018-09-30,陕西省国际信托股份有限公司,陕国投·聚宝盆98号证券投资集合资金信托计划,,,,13402942 ,3,1.85,流通A股,9
000802,2018-09-30,全国社保基金一一零组合,,,,,9876038 ,3,1.37,流通A股,10
000803,2018-09-30,成都金宇控股集团有限公司,,,,,30026000 ,1,23.51,流通A股,1
000803,2018-09-30,南充市国有资产投资经营有限责任公司,,,,,15508455 ,3,12.14,流通A股,2
000803,2018-09-30,西藏瑞东财富投资有限责任公司,瑞东梧桐一号投资基金,,,,9063615 ,3,7.1,流通A股,3
000803,2018-09-30,北京北控光伏科技发展有限公司,,,,,7762854 ,3,6.08,流通A股,4
000803,2018-09-30,北清清洁能源投资有限公司,,,,,3760200 ,3,2.94,流通A股,5
000803,2018-09-30,天津富驿企业管理咨询有限公司,,,,,3716400 ,3,2.91,流通A股,6
000803,2018-09-30,天津富桦企业管理咨询有限公司,,,,,3713800 ,3,2.91,流通A股,7
000803,2018-09-30,天津富欢企业管理咨询有限公司,,,,,3680746 ,3,2.88,流通A股,8
000803,2018-09-30,北信瑞丰资产,工商银行,北信瑞丰瑞东麒麟1号资产管理计划,,,3403840 ,3,2.66,流通A股,9
000803,2018-09-30,北京柘量投资中心(有限合伙),,,,,2680000 ,3,2.1,流通A股,10
000806,2018-09-30,银河天成集团有限公司,,,,,517612967 ,1,47.06,"未流通股,流通A股",1
000806,2018-09-30,葛淑贤,,,,,7057400 ,3,0.64,流通A股,2
000806,2018-09-30,中国农业银行股份有限公司,中证500交易型开放式指数证券投资基金,,,,5894600 ,3,0.54,流通A股,3
000806,2018-09-30,陈春蓬,,,,,3363600 ,3,0.31,流通A股,4
000806,2018-09-30,北京中德恩洋贸易有限公司,,,,,2117639 ,3,0.19,流通A股,5
000806,2018-09-30,吴璐,,,,,2111060 ,3,0.19,流通A股,6
000806,2018-09-30,庄凤娟,,,,,2099900 ,3,0.19,流通A股,7
000806,2018-09-30,陈维恩,,,,,1903200 ,3,0.17,流通A股,8
000806,2018-09-30,王东林,,,,,1769600 ,3,0.16,流通A股,9
000806,2018-09-30,高海,,,,,1612700 ,3,0.15,流通A股,10
000807,2018-09-30,云南冶金集团股份有限公司,,,,,1109818170 ,1,42.57,"未流通股,流通A股",1
000807,2018-09-30,华泰资产管理有限公司,策略投资产品,,,,40445807 ,3,1.55,流通A股,2
000807,2018-09-30,财通基金,宁波银行,云南国际信托,财通7号集合资金信托计划,,34155045 ,3,1.31,流通A股,3
000807,2018-09-30,中国建设银行股份有限公司,博时主题行业混合型证券投资基金(LOF),,,,31999941 ,3,1.23,流通A股,4
000807,2018-09-30,东吴基金,上海银行,渤海国际信托股份有限公司,,,21923554 ,3,0.84,流通A股,5
000807,2018-09-30,中国农业银行股份有限公司,中证500交易型开放式指数证券投资基金,,,,13780930 ,3,0.53,流通A股,6
000807,2018-09-30,周传明,,,,,12632661 ,3,0.48,流通A股,7
000807,2018-09-30,信诚基金,工商银行,国海证券股份有限公司,,,11133601 ,3,0.43,流通A股,8
000807,2018-09-30,全国社保基金四零三组合,,,,,9702930 ,3,0.37,流通A股,9
000807,2018-09-30,信诚基金,招商证券,北京和聚投资管理有限公司,,,9624869 ,3,0.37,流通A股,10
000809,2018-09-30,铁岭财政资产经营有限公司,,,,,282857500 ,1,34.29,流通A股,1
000809,2018-09-30,君康人寿保险股份有限公司,万能保险产品,,,,34455676 ,3,4.18,流通A股,2
000809,2018-09-30,戴毅,,,,,7680545 ,3,0.93,流通A股,3
000809,2018-09-30,君康人寿保险股份有限公司,自有资金,,,,6664266 ,3,0.81,流通A股,4
000809,2018-09-30,刘柏权,,,,,4511968 ,3,0.55,流通A股,5
000809,2018-09-30,罗曾苗,,,,,4345200 ,3,0.53,流通A股,6
000809,2018-09-30,陈晓汀,,,,,4188000 ,3,0.51,流通A股,7
000809,2018-09-30,程洪亮,,,,,4133600 ,3,0.5,流通A股,8
000809,2018-09-30,陈淑丽,,,,,4000000 ,3,0.48,流通A股,9
000809,2018-09-30,黄月琴,,,,,3531325 ,3,0.43,流通A股,10
000810,2018-09-30,深圳创维,RGB电子有限公司,,,,584548508 ,1,54.4,流通A股,1
000810,2018-09-30,林伟建,,,,,58855799 ,1,5.48,流通A股,2
000810,2018-09-30,施驰,,,,,36770524 ,3,3.42,"未流通股,流通A股",3
000810,2018-09-30,创维液晶科技有限公司,,,,,36055014 ,3,3.36,未流通股,4
000810,2018-09-30,遂宁兴业资产经营公司,,,,,21916008 ,3,2.04,流通A股,5
000810,2018-09-30,谢雄清,,,,,18528051 ,3,1.72,流通A股,6
000810,2018-09-30,李普,,,,,14683310 ,3,1.37,流通A股,7
000810,2018-09-30,华夏证券广州营业部,,,,,9400000 ,3,0.87,流通A股,8
000810,2018-09-30,汤燕,,,,,6507500 ,3,0.61,流通A股,9
000810,2018-09-30,潘力成,,,,,4620800 ,3,0.43,流通A股,10
000811,2018-09-30,烟台冰轮集团有限公司,,,,,190337929 ,1,29.15,"未流通股,流通A股",1
000811,2018-09-30,烟台国盛投资控股有限公司,,,,,65380832 ,3,10.01,流通A股,2
000811,2018-09-30,红塔创新投资股份有限公司,,,,,56595000 ,3,8.67,流通A股,3
000811,2018-09-30,中国民生银行股份有限公司,华商领先企业混合型证券投资基金,,,,9016658 ,3,1.38,流通A股,4
000811,2018-09-30,山西太钢投资有限公司,,,,,3020000 ,3,0.46,流通A股,5
000811,2018-09-30,上海华汯资产管理有限公司,华汯格致精一私募投资基金,,,,3017400 ,3,0.46,流通A股,6
000811,2018-09-30,程鹏,,,,,2488800 ,3,0.38,流通A股,7
000811,2018-09-30,吴泽钦,,,,,2266600 ,3,0.35,流通A股,8
000811,2018-09-30,杨创和,,,,,2262461 ,3,0.35,流通A股,9
000811,2018-09-30,张小环,,,,,2121900 ,3,0.32,流通A股,10
000812,2018-09-30,万裕文化产业有限公司,,,,,111486858 ,1,14.5,流通A股,1
000812,2018-09-30,重庆金嘉兴实业有限公司,,,,,81813217 ,1,10.64,未流通股,2
000812,2018-09-30,陕西烟草投资管理有限公司,,,,,36179415 ,3,4.71,流通A股,3
000812,2018-09-30,陕西中烟投资管理有限公司,,,,,23405740 ,3,3.04,流通A股,4
000812,2018-09-30,袁伍妹,,,,,15815921 ,3,2.06,未流通股,5
000812,2018-09-30,吴宣东,,,,,6274889 ,3,0.82,流通A股,6
000812,2018-09-30,陕西省产业投资有限公司,,,,,6132253 ,3,0.8,流通A股,7
000812,2018-09-30,武汉烟草(集团)有限公司,,,,,3545802 ,3,0.46,流通A股,8
000812,2018-09-30,李泓玥,,,,,3338350 ,3,0.43,流通A股,9
000812,2018-09-30,吴望晨,,,,,2600000 ,3,0.34,流通A股,10
000813,2018-09-30,美林控股集团有限公司,,,,,676825475 ,1,30.2,"未流通股,流通A股",1
000813,2018-09-30,上海岳野股权投资管理合伙企业(有限合伙),,,,,414138066 ,3,18.48,"未流通股,流通A股",2
000813,2018-09-30,新疆凯迪投资有限责任公司,,,,,197031685 ,1,8.79,流通A股,3
000813,2018-09-30,西藏锦桐创业投资有限公司,,,,,145049207 ,1,6.47,"未流通股,流通A股",4
000813,2018-09-30,新疆凯迪矿业投资股份有限公司,,,,,104039367 ,1,4.64,流通A股,5
000813,2018-09-30,北京凯世富乐资产管理股份有限公司,凯世富乐稳健9号私募证券投资基金,,,,68405836 ,3,3.05,未流通股,6
